OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,PlanningStatus,PermissionType,PermissionHistory,MinNetDwellings,DevelopmentDescription,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1029,,"Land at John St/Winwick Street, Warrington, WA4 6NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,690.3","388,623.0",0.84,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2007/09937,42,See most recent planning history at warrington.gov.uk,2017,PDL,n/a
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1050,,"Lymm Service Station, 114 Booths Hill Road, Lymm, WA13 0EQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"367,051.4","387,109.4",0.1,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2014/24638,6,See most recent planning history at warrington.gov.uk,2017,Proposed construction of 6 no. town houses (2 1/2 storey),Inset village - Lymm
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1090,,"Beers Building Co, Station Road, Latchford, WA4 2AD ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,484.7","386,927.5",1.75,Latchford East,Not owned by a Public Authority,No,Not Permissioned,n/a,"(previous consents) 2008/12523, 2008/12578 and 2011/18363",158,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1091,,"Manchester Ship Canal, Mineral Railway, Thelwall Lane, Latchford, WA4 1NJ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"363,148.7","387,149.8",2.54,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2006/08928,24,See most recent planning history at warrington.gov.uk,2017,PDL,n/a
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1108,,"Edwards Cheshire, Navigation Street, Warrington, WA1 2EL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,614.5","388,089.0",0.57,Fairfield & Howley,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/10238,76,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1178,,"Cardinal Newman High School, Bridgewater Avenue, Latchford, WA4 1RX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,685.5","388,317.0",2.72,Latchford East,Owned by a Public Authority,No,Permissioned,Outline Planning,2007/12025 and 2010/17569,110,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1201,,"New World Ltd, New World House, Thelwall Lane, Warrington, WA4 1NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"363,589.0","387,559.5",13.91,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/11944 and 2009/14707 and 2010/17050,27,See most recent planning history at warrington.gov.uk,2017,PDL,n/a
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1245,,"The Corner House, 98 Sandy Lane, Warrington, WA2 9HX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,845.9","390,959.5",0.83,Orford,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2009/15652,11,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1322,,"Brook Place, Knutsford Road, Warrington, WA4 1PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,194.1","387,393.5",0.16,Latchford East,Not owned by a Public Authority,No,Not Permissioned,Expired,(Previous consent) 2006/08556,8,See most recent planning history at warrington.gov.uk,2017,"(previous consent) Proposed erection of 8 apartments in 2, two storey blocks",Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9). 
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1401,,"Land at Winwick Street, Tanners Lane, Dallam Lane, Warrington, WA2 7NG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,532.4","388,589.6",3,Bewsey & Whitecross,Not owned by a Public Authority,No,Permissioned,Full Planning,2005/07132,20,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1412,,"Land at Dawson House, Liverpool Road, Great Sankey, Warrington, WA5 3LW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"355,293.3","388,966.0",5.78,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters and Full Planning,2011/18949 & 2016/23929 & 2016/29330,147,See most recent planning history at warrington.gov.uk,2017,PDL,No
