OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeto,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Alt_Coords_X_Y,X_Ref,Y_Ref
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR002,,"""Egginton Street Car Park, Egginton Street, Hull Local Plan Housing Allocation H2, HU2 8BT""",http://hullcc.limehouse.co.uk/file/4808511,WGS84,-0.338951813,53.74816989,0.12,owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,24,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 24 flats/dwellings. 04/01171/OUT Erection of a three storey apartment block for 18 two bedroom and 6 one bedroom apartments""",,,24,24,,,,2017-12-20,2017-12-20,OSGB36,509633.2265,429257.6793
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR007,,"""Upper Floors 41 - 65 George Street (Upper Floors), Hull Local Plan Housing Allocation H7, HU1 3BA""",http://hullcc.limehouse.co.uk/file/4808525,WGS84,-0.337181454,53.74621954,0.07,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,6,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 (net) flats. Change of use of floors 1, 2 and 3 from existing single apartment per floor to 3 apartments per floor.""",,,6,6,,,,2017-12-20,2017-12-20,OSGB36,509755.0391,429043.4427
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR008,,"""25 - 27 Dock Street, Hull Local Plan Housing Allocation H8, HU1 3DL""",http://hullcc.limehouse.co.uk/file/4808530,WGS84,-0.336344476,53.74583525,0.02,not owned by a public authority,yes,Permissioned,full planning permission,2014-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,9,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 9 flats/dwellings. 14/01212/FULL (implemented) & 11/01161/FULL Erection of 7 storey building, offices on the first floor / self contained flats on floors 2 - 6 (total of 9).""",,,9,9,,,,2017-12-20,2017-12-20,OSGB36,509811.2316,429001.9855
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR027,,"""177 Sharp Street (West End), Hull Local Plan Housing Allocation H27, HU5 2AD""",http://hullcc.limehouse.co.uk/file/4808528,WGS84,-0.366058352,53.76360249,0.35,not owned by a public authority,yes,Permissioned,full planning permission,2016-07-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,15,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 15 dwellings. Erection of 15 dwellings.""",,,15,15,,,,2017-12-20,2017-12-20,OSGB36,507806.377,430933.0381
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR029,,"""United Reformed Church and Car Park Holderness Road, Kingston Upon Hull, HU9 3DW""",http://hullcc.limehouse.co.uk/file/4808529,WGS84,-0.304054784,53.75938922,0.2,not owned by a public authority,yes,Permissioned,full planning permission,2016-04-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,13,"""Erection of three storey building comprising 4 units on ground floor for use within classes A1, A2, A3 and A5 with 4 flats on the first and second floors and erection of 5 two storey dwellings.""",,,13,13,,,,2017-12-20,2017-12-20,OSGB36,511904.4686,430560.1357
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR030,,"""Former Newland Primary School, Newland Avenue, Hull Local Plan Housing Allocation H30, HU5 3BG""",http://hullcc.limehouse.co.uk/file/4808527,WGS84,-0.359872417,53.76189642,0.41,not owned by a public authority,yes,Permissioned,full planning permission,2016-11-15,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,34,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 34 flats/dwellings. 16/01286/FULL Convert  former school buildings to provide 24 residential flats and 2 dwelling. Erection of 8 new dwellings in two terraces of fur dwellings.",,,34,34,,,,2017-12-20,2017-12-20,OSGB36,508218.5006,430752.6438
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR031,,"""Former Tower Grange Police Station,  Holderness Road,Hull Local Plan Housing Allocation H31, HU8 9HP""",http://hullcc.limehouse.co.uk/file/4808535,WGS84,-0.291259257,53.76573624,0.24,not owned by a public authority,yes,Permissioned,full planning permission,2016-07-06,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,18,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 18 flats/dwellings. 16/00647/FULL 1) Change of use of police station to 3 shops, 3 offices and 18 x 2 bedroom apartments""",,,20,20,,,,2017-12-20,2017-12-20,OSGB36,512730.9654,431286.4233
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR035,,"""121 - 123 Sharp Street, Kingston Upon Hull, HU5 2AE""",http://hullcc.limehouse.co.uk/file/4808537,WGS84,-0.363800282,53.76333683,0.05,not owned by a public authority,yes,Permissioned,full planning permission,2015-01-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,5,"""Erection of two storey building 3 self contained flats. Erection of 2 dwellings at the rear""",,,5,5,,,,2017-12-20,2017-12-20,OSGB36,507955.8968,430906.9112
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR036,,"""Land at former David Lister School, Hull Local Plan Housing Allocation H36, HU9 2PR""",http://hullcc.limehouse.co.uk/file/4808532,WGS84,-0.301610137,53.75420602,3.5,not owned by a public authority,yes,Permissioned,full planning permission,2017-01-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,82,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 82 flats/dwellings. 16/01165/FULL - Erection of 82 new dwellings with associated parking, landscaping, and highways works, and provision of open green space""",,,82,82,,,,2017-12-20,2017-12-20,OSGB36,512079.4069,429987.384
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR043,,"""48 Pearson Park, Hull Local Plan Housing Allocation H43, HU5 2TG,""",http://hullcc.limehouse.co.uk/file/4808531,WGS84,-0.355062407,53.75992989,0.05,owned by a public authority,yes,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,6,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 dwellings. 13/01025/PCOU Change of use from offices to 6 flats""",,,6,6,,,,2017-12-20,2017-12-20,OSGB36,508540.6278,430541.2068
