OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PermissionDate1,FirstAddedDate1,LastUpdatedDate1
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SBE0050,,"Windrush House, Bourne End",http://mywycombe.wycombe.gov.uk,ETRS89,-0.710374,51.5825,0.15,not owned by a public authority,yes,not permissioned,,,,,8,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0020,,"Dashwood Avenue, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.771823,51.6338,0.89,not owned by a public authority,,not permissioned,,,,,70,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0050,,Thame House Castle Street High Wycombe Buckinghamshire HP13 6LH,http://mywycombe.wycombe.gov.uk,ETRS89,-0.75028,51.6305,0.25,not owned by a public authority,,not permissioned,,,,,120,,,,,,,,16/08188/PNP3O,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0067,,46 West Wycombe Road High Wycombe Buckinghamshire HP11 2LW,http://mywycombe.wycombe.gov.uk,ETRS89,-0.760696,51.634,0.08,not owned by a public authority,yes,not permissioned,,,,,12,,,,,,,,15/06043/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0121,,207 Hughenden Road High Wycombe Buckinghamshire HP13 5PL,http://mywycombe.wycombe.gov.uk,ETRS89,-0.750474,51.6406,0.11,not owned by a public authority,yes,permissioned,Full planning permission,07/09/2013,,,5,Conversion of existing dwelling into 2 x 2 bed flats and erection of two storey attached unit comprising 4 x 1 bed flats with associated parking,,,,,,,10/07474/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0207,,"Ruskin Works, Oakridge Road, High Wycombe, Buckinghamshire",http://mywycombe.wycombe.gov.uk,ETRS89,-0.765707,51.6346,0.3,not owned by a public authority,yes,permissioned,Full planning permission,30/10/2017,,,14,"Employment led mixed use development including demolition of two single storey blocks, erection of 12 x 2-bed flats in one block with associated car parking & landscaping","1,199m2 B1a office development.",,,,,,"14/08128/FUL, 16/05752/IN.",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0210,,34 Dashwood Avenue High Wycombe Buckinghamshire HP12 3DX,http://mywycombe.wycombe.gov.uk,ETRS89,-0.769934,51.6335,0.02,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0262,,209-211 West Wycombe Road High Wycombe Buckinghamshire HP12 3AW,http://mywycombe.wycombe.gov.uk,ETRS89,-0.773306,51.6372,0.14,not owned by a public authority,yes,permissioned,Full planning permission,23/05/2014,,,10,Construction of two storey rear extension including lower ground level to both properties and conversion of existing pair of semi detached dwellings to form 12 x 1 bed flats,,,,,,,"16/07637/FUL, 14/05432/FUL",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0263,,193-197 West Wycombe Road High Wycombe Buckinghamshire HP12 3AW,http://mywycombe.wycombe.gov.uk,ETRS89,-0.771874,51.6368,0.19,not owned by a public authority,yes,not permissioned,,,,,9,,,,,,,,"16/08277/MINAMD, 16/05324/FUL",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0281,,Edie Pusey House 9A Amersham Road High Wycombe Buckinghamshire HP13 6PN,http://mywycombe.wycombe.gov.uk,ETRS89,-0.742128,51.6362,0.18,not owned by a public authority,yes,not permissioned,,,,,8,,,,,,,,"16/07320/FUL, 08/07080/FUL",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
