OrganisationURI,OrganisationLabel,SiteReference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/01,,"ST BOTOLPHS CULTURAL QUARTER, EAST OF QUEEN STREET",,ETRS89,51.88863,0.90477,0.483,owned by a public authority,,not permissioned,,,,,121,,,,,,,,Conservation Area,2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/02,,"AREA EAST OF MASON ROAD, COWDRAY CENTRE, OFF COWDRAY AVENUE",,ETRS89,51.89882,0.90645,2.7,unknown ownership,,permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=151850&appType&=Planning,,154,,,,,,,,"Mixed Use Redevelopment ""Regeneration Area"". Potential contamination identified (ref. 151850) - further assessment required. (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/03,,"BRITANNIA WORKS SITE, (CAR PARK OFF BRITANNIA WAY), FRONTING ST JULIAN GROVE",,ETRS89,51.88691,0.90636,1.169,owned by a public authority,,not permissioned,,,,,200,,,,,,,,"Regeneration Area ""Scheduled Monument""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/04,,BT REPEATER STATION AND LAND ADJACENT TO GUILDFORD ROAD FACING EXETER DRIVE,,ETRS89,51.89076,0.91126,0.61,unknown ownership,,not permissioned,,,,,24,,,,,,,,"Colchester Conservation Area 1 ""Predominantly Residential"". Risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/05,,BRITISH TELECOM SITE NORTH OF COWDRAY AVENUE,,ETRS89,51.89802,0.91275,1.438,unknown ownership,,not permissioned,,,,,43,,,,,,,,"Flood Zone 3 ""Predominantly Residential"". Unknown but likely contamination - depot/workshops- risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/06,,GARAGES AND LAND AT EAST BAY MILL,,ETRS89,51.88939,0.91482,0.496,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=O%2Fcol%2F02%2F1697&appType=Planning&action=Search |http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=RM/COL/04/0884&appType&=Planning | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=072117&appType&=Planning,,50,,,,,,,,"Conservation area.
Expected to amoun to 50-60 retirement dwellings.",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/07,,"FORMER GYM ARENA SITE,CIRCULAR ROAD EAST, COLCHESTER  CO2 7SZ",,ETRS89,51.87289,0.89388,1.553,unknown ownership,,not permissioned,,,PE Application 2013 132230,,70,,,,,,,,"Conservation Area - Garrison ""Growth Area"" ""Mixed-use Redevelopment"" ""Regeneration Area"". Unknown but possible contamination - former defence land - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/08,,"BETWEEN ALBANY GARDENS AND DISTILERY LANE, (PART OF GAS WORKS AND TIMBER DOCK LAND)",,ETRS89,51.87788,0.92806,1.041,unknown ownership,,not permissioned,,,,,,,,,,,,,"East Colchester Special Policy ""Flood Zone 3"" ""Growth Area"""" Regeneration Area""  ""Medium risk of Surface Water Flooding"". Likely contamination - in industrial area - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/09,,LAND AND BUILDINGS BETWEEN KING EDWARD QUAY AND HAVEN ROAD SOUTH OF DISTILLERY LANE,,,51.87726,0.93236,5.439,unknown ownership,,not permissioned,,,,,320,,,,,,,,"East Colchester Special Policy ""Flood Zone 3"" ""Green Link"" ""Growth Area"" ""Regeneration Area""  ""Medium and High Risk of Surface Water Flooding"". Likely contamination - many contaminative uses incl. fuel storage""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/10,,LAND AND BUILDINGS BETWEEN NUMBERS 192 AND 176 MAGDALEN STREET,,ETRS89,51.88602,0.90684,0.403,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=F/COL/01/0570&appType&=Planning,,15,,,,,,,,"East Colchester Special Policy ""Growth Area"" "" Regeneration Area"" ""http://www.colchesterhistoricbuildingsforum.org.uk/drupal/node/719"". Unknown but possible contamination - site includes former garage and adjacent rail sidings - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
