OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,Permission Date,Planning History,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings RangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,49,,High Street Aylburton,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora41&scale=1024,OSGB36,361702.8,201774.12,0.12,not owned by a public authority,yes,not permissioned,,,,,5,new building or conversion of existing business premises,,,5,5,,,Redevelopment of business premises in a village centre with scope for small residential scheme.  Alternative business premises nearby.  The site is within the Conservation Area and close to two Listed Buildings.  The Cross which is on the boundary is an ancient monument,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,52,,The Keys High Street Bream,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora47&scale=1024,OSGB36,360513.36,206137.28,0.12,not owned by a public authority,yes,permissioned,full planning permission,14/05/2014,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MHHO98HI00T00,,5,permission for conversion to 5 dwellings,,,5,5,,,conversion to five dwellings,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,42,,Lansdown Walk Bream,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora35&scale=1024,OSGB36,360625.33,205962.07,0.19,not owned by a public authority,,not permissioned,,,,,5,new build to replace existing employment use,,,5,7,,,alternative use of site currently occupied by business premises,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,2,,High Street RFC Club Bream,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora1&scale=1024,OSGB36,360199.84,205743.03,0.93,not owned by a public authority,yes,permissioned,outline planning permission,06/10/2014,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N81H8LHIGC900,,14,"Most of site covered by outline permission for demolition of existing clubhouse, associated changing rooms and outbuilding.  Redevelopment of the site to provide new dwellings (14 no) and new clubhouse and associated parking facilities.  ",,,14,25,,,permission has been given for the redevelopment of rugby club and hard standing to provide for its relocation and additionally 14 dwellings.  Remainder of site is suitable for redevelopment and possibly some element of conversion.,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,4,,Railway Tavern Station Street Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora4&scale=1024,OSGB36,365195.77,214020.16,0.09,not owned by a public authority,yes,permissioned,full planning permission,13/07/2016,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5MH6GHI0AF00,,8,permission for change of use of public house to 10 apartments,,,8,10,,,current permission for conversion of former pub to 10 flats.  Associated with larger Station Street site and allocated in AP,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,0,,St Whites former school Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora42&scale=1024,OSGB36,365480.79,365480.79,0.19,owned by a public authority,yes,pending decision,,,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTQY0JHIMW800,,5,current application for conversion of former school,,,5,5,,,former school now subject to application for conversion close to school site referred to above but not contiguous with it,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,14,,St Whites Old School West Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora9&scale=1024,OSGB36,365546.97,212854.43,0.41,owned by a public authority,yes,pending decision,,,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OSVRT1HIMRF00,,5,current application for redevelopment of site for new dwellings,,,5,8,,,former school now subject of planning application,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,46,,Newtown Road Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora3&scale=1024,OSGB36,364812.51,215625.79,0.43,owned by a public authority,yes,not permissioned,,,,,12,previously developed part of a site allocated for housing under AAP,,,12,17,,,"part of site which is previously developed, owned by HCA and suitable for new housing.  Identified in AAP.  Some units deliverable within five years.",31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,7,,Valley Road Junction Cinderford Valley Road,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora7&scale=1024,OSGB36,365018.11,213860.46,0.53,not owned by a public authority,yes,not permissioned,,,,,15,new housing on site used for employment related  use and residential,,,15,20,,,"A further parcel of land adjoins the former foundry site (listed elsewhere) and can be developed on its own or preferably in conjunction with it.  Not cleared but occupied by open storage and a single dwelling, could deliver some dwellings within five years",31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,10,,Foxes Bridge Rd Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora49&scale=1024,OSGB36,365084.68,214272.02,0.71,owned by a public authority,,not permissioned,,,,,17,new housing on former employment/ training site now vacant,,,17,21,,,former training/ employment use but vacant and suitable for redevelopment,31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,15,,Tramway Road Ruspidge,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora10&scale=1024,OSGB36,365016.12,211389.24,0.86,not owned by a public authority,,not permissioned,,,,,20,new build on site of former employment,,,20,30,,,"part former pithead baths and part under used employment site, all considered suitable for redevelopment for a variety of accommodation",31/10/2017,31/10/2017
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,6,,Valley Road Former Foundry Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora6&scale=1024,OSGB36,365079.07,213899.23,0.96,not owned by a public authority,yes,not permissioned,,,,,25,new housing on former employment site now cleared,,,30,40,,,Adjoins land above and could be developed in conjunction with it or separately in a manner that would relate to its eventual development.  Site cleared. Able to be commenced and with some delivery possible within five years,31/10/2017,31/10/2017
