OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastAddedDate
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,"""6/7""",,"Meadow Road Industrial Site, Meadow Road, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461579.5008%2C340811.1175%2C461884.3014%2C340945.8568%2C27700,ETRS89,-1.082693,52.961695,1.18,not owned by a public authority,,not permissioned,,,,,35,,,,35,35,,,Information received in 2017 indicates that the landowners hope to develop the site before 2028.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,"""6/18""",,"Rolleston Drive (NCC Offices), Rolleston Drive, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=459156.4895%2C345341.8172%2C459664.4905%2C345566.3828%2C27700,ETRS89,-1.116093,53.003151,3.64,owned by a public authority,yes,not permissioned,,,,,140,,,,140,140,,,The site is proposed for allocation in the Local Planning Document (site H1). Site is still subject to Policy E3 of the Replacement Local Plan.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,"""6/20""",,"Bestwood Business Park, Park Road, Bestwood Village",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=454511.8131%2C347084.9794%2C455527.8151%2C347534.1105%2C27700,ETRS89,-1.180971,53.020485,6.01,not owned by a public authority,,permissioned,outline planning permission,26/03/2015,,,220,Up to 220 dwellings,,,,,,,The site is proposed for allocation in the Local Planning Document (site H13). Information received in March 2017 indicates that for the foreseeable future the owners see the Business Park as remaining as an employment site.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,"""6/49""",,"Brookfields Garden Centre, Mapperley Plains, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460072.4945%2C345540.4172%2C460580.4955%2C345764.9828%2C27700,ETRS89,-1.102291,53.004843,3.52,not owned by a public authority,yes,pending decision,,,,,90,,,,90,106,,,The site is proposed for allocation in the Local Planning Document (site H2). The site is within the Green Belt. Planning application (2017/0155) for up to 32 apartments on part of the site submitted and is currently being determined.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,"""6/73""",,"Bestwood Hotel, Park Road, Bestwood Village",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=455218.2047%2C347463.6553%2C455523.0053%2C347598.3947%2C27700,ETRS89,-1.175968,53.022232,0.15,not owned by a public authority,yes,permissioned,full planning permission,24/09/2015,,,12,A block of 6 x 2 bed apartments,,,,,,,The conversion of the hotel into 6 flats has been completed in June 2016 (2012/1275). The remainder of the site has planning permission for a new block of 6 flats which is currently under construction (2015/0803).,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/154,,"Mansfield Lane (110-112), Mansfield Lane, Calverton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461538.5347%2C349711.9003%2C461843.3353%2C349846.6397%2C27700,ETRS89,-1.081313,53.041747,0.11,not owned by a public authority,yes,permissioned,full planning permission,21/12/2004,,,6,3 x 3 bed detatched houses with garages and 3 x 3 bed townhouses,,,,,,,Site is currently under construction (2004/1471).,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/209,,"Burton Road, Burton Road, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461332.0797%2C341454.1303%2C461636.8803%2C341588.8697%2C27700,ETRS89,-1.085982,52.967558,0.08,owned by a public authority,yes,not permissioned,,,,,8,,,,8,8,,,Planning permission (2006/0202) for 3 dwellings lapsed in April 2009. Information received in 2017 indicates that the site has potential to deliver 8 apartments.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/216,,"Fraser Street (Site of 36), Fraser Street, Newstead",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=451851.9647%2C352718.5703%2C452156.7653%2C352853.3097%2C27700,ETRS89,-1.225325,53.069822,0.2,not owned by a public authority,yes,permissioned,full planning permission,04/10/2016,,,8,8 x 4 bed semi-detached dwellings,,,,,,,Planning permission for residential development (2016/0917) granted in October 2016. Information received in 2017 indicates work on site has started.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/229,,"Westdale Lane East (72-74), Westdale Lane East, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461196.5447%2C342193.5903%2C461501.3453%2C342328.3297%2C27700,ETRS89,-1.087855,52.974219,0.09,not owned by a public authority,yes,pending decision,,,,,12,,,,12,12,,,Planning permission (2010/0200) lapsed in May 2013. Planning application (2017/0157) for 12 apartments submitted on 3 February 2017 and is currently being determined.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/260,,"Sol Construction Ltd, Vale Road, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460924.3747%2C340218.5303%2C461229.1753%2C340353.2697%2C27700,ETRS89,-1.092239,52.956619,0.74,not owned by a public authority,yes,permissioned,full planning permission,03/07/2008,,,44,44 dwellings,,,,,,,Site is currently under construction (2008/0287). Site has been cleared and work has been delayed on site whilst the developer negotiates with the County Council about some highway construction requirements.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/477,,"Daybrook Laundry, Mansfield Road, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=457595.4795%2C344941.2922%2C458103.4805%2C345165.8578%2C27700,ETRS89,-1.139634,52.999941,0.93,not owned by a public authority,yes,not permissioned,,,,,49,,,,49,49,,,The site is proposed for allocation in the Local Planning Document (site X1).,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/479,,"Metallifacture Ltd, Mansfield Road, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=458042.5145%2C346607.7672%2C458550.5155%2C346832.3328%2C27700,ETRS89,-1.132587,53.014738,1.33,not owned by a public authority,yes,pending decision,,,,,72,,,,72,72,,,The site is proposed for allocation in the Local Planning Document (site X2). Planning application (2016/0854) for 72 dwellings was granted in August 2017 subject to the signing of the s106.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/662,,"Hollinwood Lane/North Green, Hollinwood Lane/North Green, Calverton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460364.6097%2C350026.7603%2C460669.4103%2C350161.4997%2C27700,ETRS89,-1.098784,53.044722,0.66,not owned by a public authority,yes,not permissioned,,,,,20,,,,20,20,,,The site is proposed for allocation (390 homes) in the Local Planning Document (site H16) together with other non-brownfield sites. The site is within the Green Belt.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/686,,"The Cherry Tree, Collyer Road, Calverton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460978.5947%2C349435.6203%2C461283.3953%2C349570.3597%2C27700,ETRS89,-1.08972,53.039334,0.21,not owned by a public authority,yes,permissioned,full planning permission,23/11/2012,,,14,"4 x 3 bed terraced houses, 2 x 3 bed semi-detached houses, 1 x 4 bed townhouse, 5 x 2 bed apartments and 2 x 1 bed apartments",,,,,,,Site is currently under construction (2012/1009). Site has been sold to another developer.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/797,,"Warren Hill Community Church, Muirfield Road, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=456197.7247%2C346470.1203%2C456502.5253%2C346604.8597%2C27700,ETRS89,-1.161585,53.013194,0.11,not owned by a public authority,yes,pending decision,,,,,6,,,,6,6,,,Planning permission (2013/0555) lapsed in August 2016. Planning application (2017/0557) for 6 dwellings was submitted in August 2017 and is currently being determined.,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/804,,"Pioneer Accident Repair Centre, Manor Road, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461698.4947%2C341467.3153%2C462003.2953%2C341602.0547%2C27700,ETRS89,-1.080484,52.967688,0.11,not owned by a public authority,yes,permissioned,full planning permission,04/09/2015,,,6,2 blocks of 3 x 3 bed apartments,,,,,,,Site is currently under construction (2015/0827).,01/04/2017,31/08/2017
http://opendatacommunities.org/id/district-council/gedling,Gedling Borough Council,6/897,,"DBH House, Carlton Square, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461258.9548%2C341376.8277%2C461563.7554%2C341511.567%2C27700,ETRS89,-1.087114,52.966876,0.06,not owned by a public authority,yes,permissioned,full planning permission,22/12/2016,,,14,14 apartments,,,,,,,Planning permission for residential development (2016/1002) granted in December 2016. Site visit indicates that development has started on site.,01/04/2017,31/08/2017
