OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory ,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting ,Northing 
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"128 North Walls, Stafford",,"128 North Walls, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3166803.17,2948490.06,0.02,not owned by a public authority,yes,permissioned,full planning permission,2016-11-01,http://www.staffordbc.gov.uk/planning-public-access,,5,16/24628/FUL - Existing terraces (128-130 North Walls) converted into flats and bedsits (5 units) with new external access stair.,,,,,,,,2017-11-15,2017-11-15,392499.14,323272.56
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"36 Rowley Street, Stafford",,"36 Rowley Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3166462.23,2949543.11,0.03,not owned by a public authority,yes,permissioned,full planning permission,2015-05-27,http://www.staffordbc.gov.uk/planning-public-access,,8,15/21724/COU - Change of use of existing building from student accommodation into eight individual bedsits,,,,,,,,2017-11-15,2017-11-15,392031.17,324247.41
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"69-70 Foregate Street, Stafford",,"69-70 Foregate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3166379.07,2948995.01,0.13,not owned by a public authority,yes,permissioned,full planning permission,2015-02-23,http://www.staffordbc.gov.uk/planning-public-access,,18,15/21611/POTH - Prior approval - change of use from offices to residential (18 apartments),,,,,,,,2017-11-15,2017-11-15,392022.42,323705.88
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"Areva Fairway, Stafford",,"Areva Fairway, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3168220.67,2947689.8,7.52,not owned by a public authority,yes,permissioned,reserved matters approval,2015-12-02,http://www.staffordbc.gov.uk/planning-public-access,,194,"15/22735/REM - Approval of reserved matters for residential development consisting of 194 dwellings, public open space, access, parking and landscaping",,,,,,,,2017-11-15,2017-11-15,393976.36,322683.5
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"CC4 Greengate Street, Stafford",,"CC4 Greengate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3166515.42,2948504.35,0.03,not owned by a public authority,yes,permissioned,full planning permission,2015-04-14,http://www.staffordbc.gov.uk/planning-public-access,,9,"14/21305/FUL - Conversion of 1st, 2nd, 3rd floors above retail unit to provide nine residential apartments",,,,,,,,2017-11-15,2017-11-15,392218.7,323248.7
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"Former Castleworks , Castle Street, Stafford",,"Former Castleworks , Castle Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3165715.17,2948527.12,3.77,not owned by a public authority,yes,permissioned,reserved matters approval,2015-11-20,http://www.staffordbc.gov.uk/planning-public-access,,80,15/22596/REM - Residential development - 80 dwellings,,,,,,,,2017-11-15,2017-11-15,391440.92,323165.9
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"Land adjacent to Yew Tree House, Egg Lane, Hixon",,"Land adjacent to Yew Tree House, Egg Lane, Hixon",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3175155.16,2949938.17,0.16,not owned by a public authority,yes,permissioned,outline planning permission,2015-06-22,http://www.staffordbc.gov.uk/planning-public-access,,5,14/20711/OUT (Brownfield section of the site only)  - Outline application for the erection of 10 dwellings with access,,,,,,,,2017-11-15,2017-11-15,400394.56,325769.66
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3173985.84,2946955.46,0.2,not owned by a public authority,yes,permissioned,full planning permission,2016-08-24,http://www.staffordbc.gov.uk/planning-public-access,,10,15/23140/FUL - Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),,,,,,,,2017-11-15,2017-11-15,399654.14,322728.62
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"Land at Elms Business Centre, Main Road, Great Haywood",,"Land at Elms Business Centre, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3173984.83,2947009.67,0.33,not owned by a public authority,yes,permissioned,full planning permission,2015-03-31,http://www.staffordbc.gov.uk/planning-public-access,,6,15/21841/FUL - Residential development (six units) at rear of elms business centre/elms lodge/elms farmhouse including demolition of asbestos clad commercial unit,,,,,,,,2017-11-15,2017-11-15,399646.07,322781.04
http://opendatacommunities.org/id/district-council/stafford,Stafford Borough Council,"Land at Former Carers Centre, Austin Friars, Stafford",,"Land at Former Carers Centre, Austin Friars, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,ETRS89,3166431.16,2947728.89,0.08,not owned by a public authority,yes,permissioned,outline planning permission,2015-10-27,http://www.staffordbc.gov.uk/planning-public-access,,8,"15/22789/OUT - Eight apartments, access, drying area, parking and associated works",,,,,,,,2017-11-15,2017-11-15,392238.66,322486.86
