OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_001,,"""107 Poyle Road, Tongham, Farnham, GU10 1DY""",https://www.guildford.gov.uk/media/26677/107-Poyle-Road-Tongham-Farnham-GU10-1DY/pdf/BFLR2017_001,ETRS89,4001430.473,-50351.9238,489394,149151,0.49,Not owned by a public authority,Yes,Permissioned,Outline planning permission,02/10/2016,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_166538,,6,"""Demolition of existing buildings and erection of six dwellings all matters reserved except access (amended plans received on 28/01/2016).""",,,,,,,"""Reserved matters received 13 November 2017 pursuant to outline planning permission 15/P/02267, granted on appeal on 16/08/2016.""",27/09/2017,30/11/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_002,,"""Foreman Manor, Foreman Road, Ash, Guildford, GU12 6HE""",https://www.guildford.gov.uk/media/26678/Foreman-Manor-Foreman-Road-Ash-Guildford-GU12-6HE/pdf/BFLR2017_002,ETRS89,4000367.947,-49775.3751,489933,150532,0.26,Not owned by a public authority,Yes,Permissioned,Full planning permission,27/01/2016,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_173966,,6,"""Erection of 9 dwellings following the demolition of Foreman Manor""",,,,,,,"""Application ref. 16/P/02133""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_003,,"""Land at Guildford Park Road Surface Car Park, Guildford GU2 7NF""",https://www.guildford.gov.uk/media/26679/Land-at-Guildford-Park-Road-Surface-Car-Park-Guildford-GU2-7NF/pdf/BFLR2017_003,ETRS89,4001087.394,-40747.3697,498979,149907,2.15,Owned by a public authority,Yes,Permissioned,Full planning permission,23/01/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_171221,,160,"""Demolition of existing garage buildings and redevelopment of the site to provide 160 residential apartments and houses (Use Class C3) with new infrastructure, parking, access, landscaping, cycle storage and associated facilities including private and communal amenity space together with a five storey 541 space multi-storey public car park (Sui Generis) and 825 sqm. (GEFA) flexible commercial floorspace (Use Class A1, B1 and D2) on the ground floor of the multi-storey car park""","""541 space multi-storey public car park (Sui Generis) and 825 sq. m (GEFA) flexible commercial floorspace (Use Class A1, B1 and D2) on the ground floor of the multi-storey car park.""",,,,,,"""Application ref. 16/P/01290""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_004,,"""Land at, 109 South Lane, Ash, Guildford, GU12 6NL""",https://www.guildford.gov.uk/media/26680/Land-at-109-South-Lane-Ash-Guildford-GU12-6NL/pdf/BFLR2017_004,ETRS89,4000837.571,-50139.0494,489586,149918,1.08,Not owned by a public authority,Yes,Permissioned,Full planning permission,09/11/2015,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_155038,,20,"""Erection of a residential development comprising 21 dwellings (4 x 2 bed, 5 x 3 bed, 7 x 4 bed and 5 x 5 bed units) with associated access, parking and landscaping, following demolition of existing dwelling""",,,,,,,"""Application ref. 14/P/01637""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_005,,"""Land to the rear of 57, Manor Road, Tongham, GU10 1BA""",https://www.guildford.gov.uk/media/26681/Land-to-the-rear-of-57-Manor-Road-Tongham-GU10-1BA/pdf/BFLR2017_005,ETRS89,4001068.158,-50898.7061,488835,149597,0.31,Mixed ownership,Yes,Permissioned,Full planning permission,30/11/2016,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_173208,,9,"""Erection of 9 dwellings with associated access garages, carports and parking""",,,,,,,"""Application ref. 16/P/01913""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_006,,"""The Apple Tree, Southway, Guildford, GU2 8DT""",https://www.guildford.gov.uk/media/26682/The-Apple-Tree-Southway-Guildford-GU2-8DT/pdf/BFLR2017_006,ETRS89,4000756.653,-42592.2721,497124,150271,0.4,Not owned by a public authority,Yes,Permissioned,Full planning permission,08/03/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_169682,,18,"""Erection of 1 x 2 storey block of ten apartments (4 x 2 bed & 6 x 1 bed) and 1 x 3 storey block of eight apartments (3 x 1 bed & 5 x 2 bed) together with associated car parking, recycling area, cycle store and new landscaping""",,,,,,,"""Application ref. 16/P/00802""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_007,,"""The Flat, Dental Care, 26 Farnham Road, Guildford, GU2 4JN""",https://www.guildford.gov.uk/media/26683/The-Flat-Dental-Care-26-Farnham-Road-Guildford-GU2-4JN/pdf/BFLR2017_007,ETRS89,4001485.629,-40611.157,499129,149401,0.28,Not owned by a public authority,Yes,Permissioned,Full planning permission,05/04/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_175672,,1,"""Increase in ridge height to enable the addition of a two bedroom second floor flat. New external access stairs and door, dormer window and six rooflights to side elevations and Juliette balcony to rear (description amended 13/01/2017).""",,,,,,,"""Application ref. 17/P/00051""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_008,,"""Wey Corner, Walnut Tree Close, Guildford, GU1 4TT""",https://www.guildford.gov.uk/media/26684/Wey-Corner-Walnut-Tree-Close-Guildford-GU1-4TT/pdf/BFLR2017_008,ETRS89,4000825.305,-40589.1048,499128,150248,0.38,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/11/2016,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_169515,,56,"""Demolition of existing building and redevelopment of the site to provide two four storey buildings comprising 56 residential units including affordable housing (Use Class C3) together with associated car parking and landscaping works""",,,,,,,"""Application ref. 16/P/00752""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_009,,"""Windyridge, 46 Pewley Hill, Guildford, GU1 3SP""",https://www.guildford.gov.uk/media/26685/Windyridge-46-Pewley-Hill-Guildford-GU1-3SP/pdf/BFLR2017_009,ETRS89,4001756.55,-39360.646,500388,149094,0.95,Owned by a public authority,Yes,Permissioned,Full planning permission,17/11/2016,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_171530,,1,"""Proposed two x two storey detached dwellings with rooms in loft and detached garages and associated access works, following demolition of existing property""",,,,,,,"""Application ref. 16/P/01401""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_010,,"""17-23 Market Street, Guildford""",https://www.guildford.gov.uk/media/26686/17-23-Market-Street-Guildford/pdf/BFLR2017_010,ETRS89,4001391.202,-40022.4088,499714,149541,0.02,Not owned by a public authority,Yes,Permissioned,Full planning permission,29/10/2015,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_162794,,6,"""Conversion of existing upper floor storage areas to six (3x1 bed, 3x2 bed) self contained flats.""",,,,,,,"""Application ref. 15/P/01266  """,27/09/2017,27/09/2017
