OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/district-council/arun,Arun District Council,A1513,,Chandlers BMW Site Water Lane Angmering,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=506931&y=104424&resolution=1.0&MapName=Helaa,ETRS89,50.82947755,-0.4830176096,0.5,not owned by a public authority,yes,not permissioned,,,,,18,,,,18,20,,,,2017-11-10,2017-11-10,506931,104424
http://opendatacommunities.org/id/district-council/arun,Arun District Council,HP3,,S&G Motors Arundel Road Walberton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=495930&y=106877&resolution=1.0&MapName=Helaa,ETRS89,50.85345548,-0.638533927900,0.75,not owned by a public authority,yes,not permissioned,,,,,26,,,,26,28,,,,2017-11-10,2017-11-10,495930,106877
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU33,,Patterson Wilson Road Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503132&y=102415&resolution=1.0&MapName=Helaa,ETRS89,50.81210531,-0.537506358600,0.54,not owned by a public authority,yes,not permissioned,,,,,14,,Allocated by the neighbourhood plan for housing and a business incubator.,,14,16,,,,2017-11-10,2017-11-10,503132,102415
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU33a,,Meadowfield House Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503151&y=102381&resolution=1.0&MapName=Helaa,ETRS89,50.81179629,-0.537246328800,0.35,owned by a public authority,yes,not permissioned,,,,,11,,Allocated by the neighbourhood plan for housing and a business incubator.,,11,13,,,,2017-11-10,2017-11-10,503151,102381
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWBE10,,Bartons County Infants School Romney Broadwalk Bersted,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=492543&y=100908&resolution=1.0&MapName=Helaa,ETRS89,50.80034345,-0.688142790600,0.59,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,17,,,,2017-11-10,2017-11-10,492543,100908
http://opendatacommunities.org/id/district-council/arun,Arun District Council,115,,Electronic Sub Station Ford Road Arundel,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=501295&y=106735&resolution=1.0&MapName=Helaa,ETRS89,50.85126516,-0.562379710000,0.43,not owned by a public authority,yes,not permissioned,,,,,36,,,,36,38,,,,2017-11-10,2017-11-10,501295,106735
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR19,,Regis Centre Site The Esplanade Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493742&y=98964&resolution=1.0&MapName=Helaa,ETRS89,50.78267344,-0.671628028700,1.57,owned by a public authority,yes,not permissioned,,,,,90,,"Development should be according to the Bognor Regis Masterplan which allocates leisure and some mixed use for the site. Due to economic conditions, it is uncertain when or exactly what type the development will be. ",,90,100,,,,2017-11-10,2017-11-10,493742,98964
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWLU40,,Former Hospital Site Fitzalan Road / Church Street Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503144&y=102037&resolution=1.0&MapName=Helaa,ETRS89,50.80870519,-0.537442378400,0.54,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,16,,,,2017-11-10,2017-11-10,503144,102037
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR5,,Hothampton Car Park The Queensway Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493351&y=99130&resolution=1.0&MapName=Helaa,ETRS89,50.78422894,-0.677130634500,1.33,mixed ownership,yes,not permissioned,,,,,75,,"Development suitable in accordance with the Bognor Regis Masterplan which allocates some of this site for offices, health centre and open space. ",,75,85,,,,2017-11-10,2017-11-10,493351,99130
http://opendatacommunities.org/id/district-council/arun,Arun District Council,PS12,,St Martins Car Park & Former Waitrose Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=502798&y=102243&resolution=1.0&MapName=Helaa,ETRS89,50.81061847,-0.542293694700,2.2,mixed ownership,yes,not permissioned,,,,,65,,The location is such that it would be suited to a mixture of uses.,,65,75,,,,2017-11-10,2017-11-10,502798,102243
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR10,,Covers Richmond Road Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493518&y=99507&resolution=1.0&MapName=Helaa,ETRS89,50.78759146,-0.674666668400,1.19,not owned by a public authority,yes,not permissioned,,,,,32,,It has been idenitfied in the Bognor Regis Masterplan for mixed use development.,,32,34,,,,2017-11-10,2017-11-10,493518,99507
http://opendatacommunities.org/id/district-council/arun,Arun District Council,17LU9,,Littlehampton - West Bank,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=501957&y=102175&resolution=1.0&MapName=Helaa,ETRS89,50.81015571,-0.554245249200,8.46,mixed ownership,yes,not permissioned,,,,,390,,"Currently hosts a variety of uses. Potential for comprehensive redevelopment including taller buildings, retention of marina facilities, commercial space, restaurant uses, public space, flood defences, school. ",,390,620,,,,2017-11-10,2017-11-10,501957,102175
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWLU38c,,Works units at Gloucester Road and Howard Road Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=502316&y=102375&resolution=1.0&MapName=Helaa,ETRS89,50.81189038,-0.549095775800,0.35,not owned by a public authority,yes,not permissioned,,,,,12,,,,12,14,,,,2017-11-10,2017-11-10,502316,102375
http://opendatacommunities.org/id/district-council/arun,Arun District Council,P5408,,St Ninians Church Pagham,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=489033&y=98298&resolution=1.0&MapName=Helaa,ETRS89,50.7774265,-0.7385695079,0.26,not owned by a public authority,yes,not permissioned,,,,,8,,,,8,10,,,,2017-11-10,2017-11-10,489033,98298
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR14914OUT,,Belmont Lodge and land west of Belmont Street Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.78324194,-0.671796346700,0.09,not owned by a public authority,yes,permissioned,planning permission granted under an order,2016-05-17,http://www.arun.gov.uk/weekly-lists,,35,BR/74/16/PD: Prior notification under Class O for change of use from Use Class B1(a) offices to Use Class C3 dwelling houses.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493729,99027
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR15515,,The Royal Hotel The Esplanade Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.78130927,-0.677411580500,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-09-26,http://www.arun.gov.uk/weekly-lists,,18,BR/130/17/PL: Change of Use of hotel & function room/licensed bar (C1 Hotel) to 18No. flats (C3 Dwelling houses).,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493337,98805
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU11108,,The Locomotive Public House Terminus Road Littlehampton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.80980134,-0.545271490900,0.03,not owned by a public authority,yes,permissioned,full planning permission,2016-05-19,http://www.arun.gov.uk/weekly-lists,,9,LU/45/16/PL: 6 No. two bed & 3 No. one bed apartments with associated cycle & refuse storage,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,502590,102148
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU5515OUT,,Land South of Littlehampton Academy Littlehampton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.81398956,-0.534296092000,2.42,owned by a public authority,yes,permissioned,outline planning permission,2016-09-28,http://www.arun.gov.uk/weekly-lists,,68,LU/55/15/OUT: Application for outline planning permission with some matters reserved for 68 No. dwellings (resubmission following LU/51/14/).,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,503354,102629
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWWA15,,Progress Garage Yapton Lane Walberton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.83839657,-0.613734024200,0.17,not owned by a public authority,yes,permissioned,outline planning permission,2017-03-02,http://www.arun.gov.uk/weekly-lists,,6,WA/103/16/OUT: Outline application with some matters reserved for construction of 6 no. dwelling houses & associated works. ,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497707,105235
