OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/3,,Ribble Close & Gas Holder Site,https://www.worcester.gov.uk/documents/10499/8862850/Ribble+Close+-+Site+Plan.pdf/126aa937-08db-5039-7615-3f985f234844 ,ETRS89,52.190268,-2.203305,1.2,not owned by a public authority,,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,50,,,,40,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/7,,Former Sansome Walk Swimming Pool,https://www.worcester.gov.uk/documents/10499/8862850/Sansome+Walk+-+Site+Plan.pdf/93c25fe0-3a1c-b2d0-0f16-3af7e590bb4f ,ETRS89,52.199018,-2.220537,0.8,owned by a public authority,yes,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,50,,,,33,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/9,,"Old Brewery Service Station, Barbourne Road",https://www.worcester.gov.uk/documents/10499/8862850/Old+Brewery+Service+Station+-+Site+Plan.pdf/1417d974-d495-a693-e561-1830ef9b977e ,ETRS89,52.202013,-2.2261,0.14,not owned by a public authority,yes,permissioned,full planning permission,,https://www.worcester.gov.uk/planning-application-search,,18,,,,12,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/19,,"Blackpole Road, Western Power Distribution Depot",https://www.worcester.gov.uk/documents/10499/8862850/Western+Power+Distribution+Power+Depot+-+Site+Plan.pdf/3ec890d6-a69d-eec6-931d-b190eaf3bcbb ,ETRS89,52.208674,-2.199564,2.58,not owned by a public authority,,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,40,,,,40,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/a,,73-77 Bromwich Road,https://www.worcester.gov.uk/documents/10499/8862850/73-74+Bromwich+Road+-+Site+Plan.pdf/2429ddb2-2ca0-7ffb-b7ec-7731bf14cb8f ,ETRS89,52.183613,-2.230961,0.14,not owned by a public authority,,permissioned,full planning permission,2015-03-05,https://www.worcester.gov.uk/planning-application-search,,11,,,,5,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/c,,"Malvern Gate, Bromwich Road",https://www.worcester.gov.uk/documents/10499/8862850/Malvern+Gate+-+Site+Plan.pdf/43f57c01-aa99-ebaa-ca5f-e42349ef9295 ,ETRS89,52.173761,-2.234108,1.28,not owned by a public authority,yes,permissioned,outline planning permission,2014-05-28,https://www.worcester.gov.uk/planning-application-search,,55,,,,45,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/f,,"County Council Offices, Sherwood Lane",https://www.worcester.gov.uk/documents/10499/8862850/Sherwood+Lane+-+Site+Plan.pdf/920d44f8-5427-3f77-e615-73ddcc920a42 ,ETRS89,52.17502,-2.237981,0.5,owned by a public authority,,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,30,,,,25,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/g,,"County Council Offices, Bilford Road",https://www.worcester.gov.uk/documents/10499/8862850/Bilford+Road+-+Site+Plan.pdf/1109c526-a4db-f46e-2b5e-06235c4f77b1 ,ETRS89,52.213017,-2.216007,0.67,owned by a public authority,,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,20,,,,15,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/h,,"Laugherne Garage, Bransford Road",https://www.worcester.gov.uk/documents/10499/8862850/Bransford+Road+-+Site+Plan.pdf/077d92d9-43e8-510f-92db-50399d9fe404 ,ETRS89,52.183961,-2.253973,0.44,not owned by a public authority,,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,10,,,,8,,,,,2017-08-04,2017-08-04
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/m,,"Former Club House, Tolladine Golf Course",https://www.worcester.gov.uk/documents/10499/8862850/Former+Club+House+Tolladine+Golf+Course+-+Site+Plan.pdf/c0ce0ad2-3133-df00-ebf5-c0a5310fd530 ,ETRS89,52.199268,-2.188366,0.5,not owned by a public authority,,not permissioned,,,https://www.worcester.gov.uk/planning-application-search,,15,,,,9,,,,,2017-08-04,2017-08-04
