OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,1,,"Hadrian Road (land south of Metro line), Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36 ,430990,566442,1.15,Mixed ownership,,not permissioned,,,,,18,,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,2,,"Cedar Grove Block, High Street East, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36 ,430765,566469,0.7,Mixed ownership,,not permissioned,,,,yes,19,,,,19,32,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,38,,"Langdale Centre, Langdale Gardens, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36 ,432217,568101,1.43,owned by a public authority ,,not permissioned,,,,,39,,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,48,,"Land at Martin Road, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36 ,431954,566792,0.12,not owned by a public authority ,,not permissioned,,,,,4,,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,58,,"Howdon Green, Willington Quay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36,432704,566600,3.54,not owned by a public authority ,,permissioned,outline planning permission,2017-05-10,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K9T2DZBH09700,,83,Residential development for 83 dwellings and details of proposed access,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,63,,"West Chirton South, Norham Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36,433218,568303,28.95,Mixed ownership,yes,pending decision ,outline planning permission,2016-06-17,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N81JHFBHGUN00,,400,Outline planning permission for the demolition existing buildings and redevelopment of the site for up to 400 residential dwellings including access.,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,66,,Backworth Business Park ,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36,430436,571889,4.73,Mixed ownership,yes,not permissioned,,,,,65,,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,67,,"Foxhunters Industrial Estate, Hillheads Road, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36,434934,571148,2.72,Mixed ownership,,not permissioned,,,,,61,,employment,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,79,,"201-225 High Street East, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36,430395,566518,0.16,not owned by a public authority ,,not permissioned,,,,,5,,,,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,North Tyneside Council ,81,,"Forest Hall Delivery Office, Station Road, Forest Hall",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,OSGB36,427718,569387,0.16,not owned by a public authority ,,not permissioned,,,,,5,,,,,,,,,2017-12-22,2017-12-22
