OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,Planning Status,PermissionType,Permission Date,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207000430,,"Lincoln House, Lincoln Road, N18 3HF",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N99H3OJN02E00,ETRS89,-0.046913,51.643747,0.03,not owned by a public authority,yes,permissioned,full planning permission,2015-07-21,,,6,Change of use from offices (B1) to residential (C3).,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207143457,,"55-57 Chase Side, N14 5DB",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NEXGJUJN00600,ETRS89,-0.087842,51.655839,0.03,not owned by a public authority,yes,permissioned,planning permission granted under an order,2015-01-20,,,6,"Conversion of first and second floor offices to 6 x self contained flats (2 x 1-bed, 2 x 2-bed and 2 x 3-bed).",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207002010,,"103 Chase Side, EN2 6NL",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ZZZZLAJNXE008,ETRS89,-0.087943,51.658362,0.09,not owned by a public authority,yes,permissioned,full planning permission,2016-11-25,,,5,"Redevelopment of site to provide 5 additional dwellings involving demolition of north barn and erection of a part single, part 2-storey block to provide 2 x 2-bed single family dwellings, conversion of south barn involving a part single, part 2-storey side extension to provide 3 residential units comprising 2 x 2-bed and 1 x 3-bed single family dwellings, demolition of conservatory to existing farm house and shop, off street parking and associated landscaping.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207122148,,"Wellington House, 3 Wellington Road, EN1 2PB",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHIBQ4JNLGA00,ETRS89,-0.074850,51.647068,0.09,not owned by a public authority,yes,permissioned,full planning permission,2017-01-26,,,7,"Demolition of the existing single family dwelling and erection of a three-storey block of 7 units comprising 1 x 1-bed, 5 x 2-bed and 1 x 3-bed with associated access, parking and landscaping.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207007899,,"10 Park Road, N18 2UQ",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N7MCMHJN02E00,ETRS89,-0.065801,51.617519,0.09,not owned by a public authority,yes,permissioned,full planning permission,2015-06-03,,,18,"Erection of a four storey block comprising 18 self-contained flats (7 x 1-bed, 7 x 2-bed, 4 x 3-bed) with balconies, amenity area, associated access via Park Road and surface car parking.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207083627,,"42 Station Road, N21 3RA",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ZZZZKRJNXE793,ETRS89,-0.098561,51.633153,0.10,not owned by a public authority,yes,permissioned,outline planning permission,2017-01-24,,,6,"Demolition of the house and erection of a block 7 flats (3x3 bed and 4x2 bed) self contained flats. (OUTLINE- Access, Layout and Scale).",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207143501,,"70-72 Chase Side, N14 5PH",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHG5ODJN28000,ETRS89,-0.130024,51.633462,0.13,not owned by a public authority,yes,permissioned,full planning permission,2016-03-16,,,8,"Construction of 8 self contained residential units (comprising 4 x 1-bed and 4 x 2-bed) involving demolition of part of existing building at rear and erection of a part single, part 4-storey rear extension incorporating a lower ground floor parking area, balconies and sun terraces at first, second and third floor and a second and part third floor extension to existing building with balcony / terrace to third floor at front",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207083997,,"Capitol House, 794 Green Lanes, N21 2AW",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMK05CJN05300,ETRS89,-0.094297,51.632183,0.25,not owned by a public authority,yes,permissioned,planning permission granted under an order,2017-05-12,,,65,"Change of use from offices (Class B1(a)) to residential (Class C3) creating 65 self contained units (5 x studio, 52 x 1-bed, 8 x 2-bed).",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207158675,,"391 Cockfosters Road, EN4 0JS",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ZZZZL0JNXE455,ETRS89,-0.156218,51.663464,0.26,not owned by a public authority,yes,permissioned,full planning permission,2017-01-11,,,5,"Demolition of existing single family dwellinghouse and erection of 6no. flats (2 x 2-bed and 4 x 3-bed) in a 2-storey building with basement parking, basement accommodation, and accommodation in roof space.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207118764,,"84 Camlet Way, EN4 0NX",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OM8RXBJNFOM00,ETRS89,-0.182645,51.663833,0.28,not owned by a public authority,yes,permissioned,full planning permission,2017-05-16,,,1,"Subdivision of the site and erection of a  5-bed detached 2-storey dwellinghouse with accommodation in roof space and rear dormers, rear terrace at first floor level, detached double garage, boundary wall and gates at entrance and access to Camlet Way together with  erection of replacement double garage at front to serve no.84 Camlet Way",,,,,,,,2017-12-31,2017-12-31
