OBJECTID,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,GlobalID,AlternativeReferences,Shape_Length,Shape_Area
12,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000008,,"Former Pegasus/Hamptons Site, Coldecott Road, Oulton Broad, Suffolk",http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,ETRS89,1.70860656,52.4770342,1.69,not owned by a public authority,Yes,permissioned,full planning permission,14/07/2014,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=M96Z8STBT0000&activeTab=summary,,76,"Re-development of former Pegasus Boatyard to provide 76 dwellings, new boatyard buildings, office, moorings and new access road. Policy Number OUL2 and Planning Application Number BA/2012/0271/FUL.","Office, moorings, viewing platform.",,76,76,Yes,,Was allocated in 2014 Site Specific Local Plan and allocated in emerging Local Plan policy OUL2. Details of the application (BA/2012/0271/FUL),23/11/2017,23/11/2017,{49417F14-6BE7-4E55-93A4-B5CDC35910A3},Pegasus,0.006749259,2.24E-06
13,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000001,,Derbys Quay Bridge Wharf Gillingham Dam Gillingham Beccles Norfolk NR34 0PA,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MOJ2UJTB00200,ETRS89,1.56087065,52.46446404,0.03,not owned by a public authority,Yes,permissioned,full planning permission,08/08/2014,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MOJ2UJTB00200,,2,Application to extend time limit of previous PP - BA/2010/0124/FUL for the conversion of offices and stores into two first floor holiday studio flats,,,2,2,,,Planning application number: BA/2013/0171/EXT8W extends time limit for BA/2010/0124/FUL.,23/11/2017,23/11/2017,{8674122E-623E-417B-85D1-FA3D69496C90},BA/2013/0171/EXT8W,0.00109843,3.99E-08
14,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000010,,"Hedera House, The Street, Thurne, Norfolk",http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9TEYTB01W00,ETRS89,1.55486941,52.68643922,0.77,not owned by a public authority,Yes,permissioned,outline planning permission,12/09/2017,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=ON9TEYTB01W00&activeTab=summary,,16,Outline application to redevelop Hedera House to form 6 residential dwellings and 10 new holiday cottages. Policy number THU1. Planning Application number: BA/2017/0103/OUT,,,16,16,,,Allocated in Sites Specifics Local Plan 2014 and draft allocated in emerging new Local Plan Policy THU1. Details of the planning application: BA/2017/0103/OUT ,23/11/2017,23/11/2017,{4DE79176-3D16-4913-9142-228D6C12981C},Thurne,0.00486236,1.03E-06
15,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000007,,"Building next to Kings Head Hotel, Station Road, Hoveton.",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.40903057,52.71272392,0.03,not owned by a public authority,Yes,not permissioned,,,,,0,Allocated in emerging Local Plan for holiday accommodation. Policy HOV3.,,,0,,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017,23/11/2017,{CDAF4EE7-675B-4F90-B97C-E368C6FDDB9A},Hoveton,0.001293494,3.74E-08
16,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000009,,"Spinnakers, near A143, St Olaves, Norfolk.",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0012/995574/16_ST_OLAVES-new.pdf,ETRS89,1.617158,52.53479341,0.12,not owned by a public authority,Yes,not permissioned,,,,,1,Allocated in emerging Local Plan for holiday accommodation amongst other uses to complement the flood risk in the area. Policy SOL2.,Allocated in emerging Local Plan for holiday accommodation amongst other uses to complement the flood risk in the area. Policy SOL2.,,1,1,,,Allocated in Sites Specifics Local Plan 2014. Allocated in emerging Local Plan Policy SOL2.,23/11/2017,23/11/2017,{EBC734B7-276C-4C38-8FA5-C53951C14DAD},Spinacres,0.00189546,1.57E-07
17,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000004,,Riverside House Woods End Kirby Bedon NR14 7ED,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OF0SJATBG8V00,ETRS89,1.38095082,52.60529411,0.21,not owned by a public authority,Yes,permissioned,other,15/12/2016,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OF0SJATBG8V00,,1,Extension to existing residential dwelling and conversion of outbuilding to holiday accommodation,,,1,1,,,Planning application number: BA/2016/0379/CU. ,23/11/2017,23/11/2017,{92A5726A-0FBB-4788-8426-642FC94F4A51},BA/2016/0379/CU,0.002304881,2.73E-07
18,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000003,,The Valley House Low Road Mettingham Suffolk NR35 1TS,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZUKQATBFTZ00,ETRS89,1.4723358,52.46542258,2.56,not owned by a public authority,Yes,permissioned,full planning permission,30/06/2016,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZUKQATBFTZ00,,4,Conversion of existing barns and outbuildings to form new residential units and erection of a new stable block.,,,4,4,,,BA/2014/0239/FUL withdrawn. BA/2003/6138/HISTAP  Approved subject to conditions. ,23/11/2017,23/11/2017,{9DE73567-A3E0-4A82-B63B-D7D3CE973826},BA/2015/0426/FUL,0.010964416,3.39E-06
19,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000002,,"Barnes Brinkcraft (Formerly Moore & Co), Staitheway Road, Wroxham, Norwich, NR12 8TH",http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXYOW9TB01W00,ETRS89,1.40699753,52.70925317,0.06,not owned by a public authority,Yes,permissioned,full planning permission,11/01/2016,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NXYOW9TB01W00,,3,BA/2015/0381/FUL Part demolition of boatshed and erection of 3 no. holiday dwellings. Application for re-approval of extant permission BA/2013/0019/FUL.,,,3,3,,,Planning application number: BA/2015/0381/FUL . ,23/11/2017,23/11/2017,{CE74267A-E184-47BC-BCEF-A0642043B84B},BA/2015/0381/FUL,0.001318324,7.40E-08
20,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000006,,"Former Waterside Rooms, Station Road, Hoveton.",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.40878048,52.71285389,0.1,not owned by a public authority,Yes,not permissioned,,,,,0,Allocated in emerging Local Plan for A3 and A4 uses and an element of residential may be acceptable. Policy HOV3.,Allocated in emerging Local Plan for A3 and A4 uses and an element of residential may be acceptable. Policy HOV3.,,0,,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017,23/11/2017,{4CD0D5E3-767B-447B-8B74-ED0CFED35111},Hoveton,0.001935388,1.33E-07
21,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000005,,"Old Broads Hotel Site, Station Road, Hoveton",http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.4084046,52.7136625,0.11,not owned by a public authority,Yes,not permissioned,,,,,0,Allocated in emerging Local Plan for A3 and A4 land uses and an element of residential may be acceptable. Policy HOV3.,Allocated in emerging Local Plan for A3 and A4 land uses and an element of residential may be acceptable. Policy HOV3.,,0,,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017,23/11/2017,{46AD818C-96A5-4AF5-9AB8-4ACC8A26A604},Hoveton,0.001722236,1.50E-07
