OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS1,SHLAA180,"""Former Magistrates’ Court, Pikes Hill, Lyndhurst, SO43 7AY""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.57827,50.877638,0.04,owned by a public authority,yes,not permissioned,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_146305,,5,,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,,,,,,"""An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site""",2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS2,SHLAA61,"""Garage Site, Foldsgate Close, Lyndhurst SO43 7BY""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.578666,50.877882,0.02,owned by a public authority,yes,not permissioned,,,,,2,,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS3,SHLAA84,"""Redmayne Engineering Site, Station Approach, Brockenhurst, SO42 7TW""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.57353,50.81754,0.4,unknown ownership,yes,not permissioned,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_164099,,10,,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,,,,,,"""An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site""",2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS4,SHLAA88,"""Land at Railway Station, Brockenhurst, SO42 7TW""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.575547,50.814319,0.35,unknown ownership,yes,not permissioned,,,,,10,,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS5,SHLAA90,"""Former Service Station, 128 Lyndhurst Road, Ashurst, SO40 7AS""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.522698,50.892675,0.05,not owned by a public authority,yes,not permissioned,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_147549,,2,,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS6,SHLAA123,"""Land adjoining Cranleigh Paddock Residential Home, Calpe Avenue, Lyndhurst, SO43 7EP""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.579084,50.875707,0.35,not owned by a public authority,yes,not permissioned,,,https://idoxweb.newforestnpa.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,18,,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS7,SHLAA78,"""Lyndhurst Park Hotel, 78 High Street, Lyndhurst, SO43 7NL""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.572011,50.87204,1.61,not owned by a public authority,yes,not permissioned,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_169288,,50,,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS8,,"""Oak Lodge Dental Surgery, Rhinefield Road, Brockenhurst, SO42 7SR""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.581436,50.82238,0.15,not owned by a public authority,yes,permissioned,full planning permission,2005-08-15,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_136272,,1,"Demolition of existing, new access",,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS9,,"""Watersplash Hotel, The Rise, Brockenhurst, SO42 7ZP""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.578147,50.818753,0.5,not owned by a public authority,yes,permissioned,full planning permission,2017-04-26,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_166597,,26, 3 villas to create 24 age restricted apartments,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS10,,"""First and Second Floor, 49-49A High Street, Lyndhurst, SO43 7BE""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.575217,50.872708,0.03,not owned by a public authority,yes,permissioned,other,2016-08-15,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_167039,,6,Change of use of office building to 6 apartments,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS11,,"""The Old Barn, Church Lane, Lyndhurst, SO43 7EW""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.576599,50.872263,0.02,not owned by a public authority,yes,permissioned,other,2014-05-21,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_162122,,1,Change of use of office building to dwelling ,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS12,,"""Land To The Rear Of 35 High Street, Lyndhurst, SO43 7BE""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.575727,50.872826,0.02,not owned by a public authority,yes,permissioned,full planning permission,2016-06-21,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_166551,,1,New dwelling; associated landscaping,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS13,,"""Burwood Lodge, 27 Romsey Road, Lyndhurst, SO43 7AA""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.576711,50.874053,0.19,not owned by a public authority,yes,permissioned,full planning permission,2016-09-15,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_165587,,1,Conversion of Bed and Breakfast to create 2 dwellings,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS14,,"""Land Of Forest Park Hotel, Forest Park Road, Brockenhurst, SO42 7SW""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.585894,50.822441,0.39,not owned by a public authority,yes,permissioned,full planning permission,2016-06-16,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_167035,,1,New dwelling and garage,,,,,,,,2017-12-20,2017-12-20
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS15,,"""Former Scout Hut, Brookley Road, Brockenhurst, SO42 7RD""",http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,ETRS89,-1.577665,50.820235,0.05,not owned by a public authority,yes,permissioned,full planning permission,2016-04-26,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_164528,,3,To construct a terrace of three dwellings,,,,,,,,2017-12-20,2017-12-20
